"x","Re[Er]","Im[Er]"
0.8170000000000001,-2.0171806582154482e12,0
0.8180000000000001,-1.8835602362799736e12,0
0.8190000000000001,-1.7551409072038308e12,0
0.8200000000000001,-1.6321154975545923e12,0
0.8210000000000001,-1.514622605468097e12,0
0.8220000000000001,-1.4027505923164067e12,0
0.8230000000000001,-1.2965415743757664e12,0
0.8240000000000001,-1.19599541449456e12,0
0.8250000000000001,-1.1010737137612705e12,0
0.8260000000000001,-1.0117038031724364e12,0
0.8270000000000001,-9.277827353006104e11,0
0.8280000000000001,-8.491811028000358e11,0
0.8290000000000001,-7.75745415814781e11,0
0.8300000000000001,-7.073045834284216e11,0
0.8310000000000001,-6.436748022043414e11,0
0.8320000000000001,-5.846615643247949e11,0
0.8330000000000001,-5.3006160859658777e11,0
0.8340000000000001,-4.796648714567572e11,0
0.8350000000000001,-4.332564379782523e11,0
0.8360000000000001,-3.9061849287561487e11,0
0.8370000000000001,-3.515322715106589e11,0
0.8380000000000001,-3.1578001089815186e11,0
0.8390000000000001,-2.831469007114947e11,0
0.8400000000000001,-2.5342303428840222e11,0
0.8410000000000001,-2.264053596365837e11,0
0.8420000000000001,-2.0189963042806552e11,0
0.8430000000000001,-1.7972094927019193e11,0
0.8440000000000001,-1.5969030961396692e11,0
0.8450000000000001,-1.416370520563931e11,0
0.8460000000000001,-1.2539971237329456e11,0
0.8470000000000001,-1.1082588127104382e11,0
0.8480000000000001,-9.777206413828918e10,0
0.849,-8.610354079768285e10,0
0.8500000000000001,-7.569422525760196e10,0
0.851,-6.6426525463888885e10,0
0.8520000000000001,-5.819120305156128e10,0
0.853,-5.088723309655569e10,0
0.8540000000000001,-4.4421663867439964e10,0
0.855,-3.870946921024417e10,0
0.856,-3.3672946872805557e10,0
0.857,-2.924079606840544e10,0
0.858,-2.5347963093733803e10,0
0.859,-2.1935304301723236e10,0
0.86,-1.894921856051163e10,0
0.861,-1.6341279712404816e10,0
0.862,-1.4067869032839193e10,0
0.863,-1.20898076893444e10,0
0.864,-1.0371989200505953e10,0
0.865,-8.883011894927895e9,0
0.866,-7.594811381183968e9,0
0.867,-6.482358284826181e9,0
0.868,-5.523487151554842e9,0
0.869,-4.69850939370895e9,0
0.87,-3.9899822164038286e9,0
0.871,-3.3825227174298453e9,0
0.872,-2.862621987151141e9,0
0.873,-2.41845920840436e9,0
0.874,-2.0397157563973699e9,0
0.875,-1.7173892986079972e9,0
0.876,-1.4436078946827483e9,0
0.877,-1.211460722293621e9,0
0.878,-1.0149663980761286e9,0
0.879,-8.489484054787294e8,0
0.88,-7.089126040756297e8,0
0.881,-5.90980973999613e8,0
0.882,-4.918257935711155e8,0
0.883,-4.086038169273014e8,0
0.884,-3.3889045165113866e8,0
0.885,-2.8061393640047467e8,0
0.886,-2.319897075884694e8,0
0.887,-1.914817097100988e8,0
0.888,-1.5779568780871096e8,0
0.889,-1.2982815492139104e8,0
0.89,-1.066424391174051e8,0
0.891,-8.744929943215233e7,0
0.892,-7.158754180111709e7,0
0.893,-5.850463499382126e7,0
0.894,-4.773732654777631e7,0
0.895,-3.889241243013299e7,0
0.896,-3.163697635462015e7,0
0.897,-2.5695738398751818e7,0
0.898,-2.0837821491930917e7,0
0.899,-1.6870877434081797e7,0
0.9,-1.3636014859280448e7,0
